review:quiz,view:quiz,#SUP:1696 52%
review:quiz,view:course,#SUP:1692 52%
idle,view:course,view:user,#SUP:1700 53%
view:quiz,view:course,view forum:forum,#SUP:1710 53%
view:course,view:url,view:course,#SUP:1678 52%
view:course,view:page,view:course,#SUP:1796 56%
view forum:forum,view:user,view discussion:forum,#SUP:1701 53%
continue attempt:quiz,view summary:quiz,close attempt:quiz,review:quiz,#SUP:1758 54%
idle,view:course,view:course,view:course,view:quiz,#SUP:1637 51%
view:course,view:resource,view:course,view:assign,view:course,#SUP:1641 51%
view:course,view forum:forum,view:user,view:course,view:course,#SUP:1663 51%
view:user,view:course,view:course,view:course,view:course,#SUP:1651 51%
idle,view:course,view forum:forum,view:course,view:resource,view:course,#SUP:1682 52%
view:course,view:quiz,attempt:quiz,continue attempt:quiz,view summary:quiz,close attempt:quiz,#SUP:1744 54%
view:course,view:course,view:course,view:quiz,attempt:quiz,continue attempt:quiz,#SUP:1680 52%
view:course,view:course,view:course,view:course,view:course,view:quiz,#SUP:1676 52%
view:course,view:assign,view:course,view forum:forum,view:course,view:course,#SUP:1636 51%
idle,view:course,view:assign,view:course,view:course,view:course,view:course,#SUP:1647 51%
view:course,view:course,view:assign,view submit assignment form:assign,submit:assign,view:assign,view:course,#SUP:1663 51%
view:course,view forum:forum,view discussion:forum,view:course,view:resource,view:course,view:course,#SUP:1716 53%
view forum:forum,view discussion:forum,view:course,view forum:forum,view discussion:forum,add post:forum,view discussion:forum,#SUP:1637 51%
idle,idle,idle,idle,idle,idle,view:course,view:folder,#SUP:1667 52%
view:course,view forum:forum,view:course,view:course,view:course,view:resource,view:course,view:course,#SUP:1662 51%
view:course,view:assign,view:course,view:course,view:course,view:course,view:course,view:course,view:course,#SUP:1640 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,view forum:forum,view discussion:forum,#SUP:1647 51%
view discussion:forum,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,#SUP:1634 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,view:resource,#SUP:1637 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,view forum:forum,#SUP:1650 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,view:course,#SUP:1641 51%
idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,idle,#SUP:1650 51%
